State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
ME	848	2013	Damariscotta Lake State Park Playground	A	 5,470.00 	R	State of ME, Dept of Agriculture, Div of Parks and Lands	Replacement of old unsafe playground with a new playground at Damariscotta Lake State Park. Work includes demolition of old playground and installation of the new playground.	DAMARISCOTTA LAKE STATE PARK	Lincoln	0	19
ME	846	2013	Washington Street Recreation Complex Redevelopment	A	 147,900.00 	R	City of Brewer	Renovation of 2 baseball fields, install a paved walking path, create a new youth soccer field, a new playground, renovate the parking area, install benches, picnic tables, and restroom facilities.	Washington Steet Recreation Complex	PENOBSCOT	0	13
MO	1,594	2013	NORTHWEST SPORTS COMPLEX PLAYGROUND DEVELOPMENT	A	59,035.00	D	JEFFERSON COUNTY	Jefferson County will construct a playground within the Northwest Sports Complex.	NORTHWEST SPORTS COMPLEX	Jefferson	0	20.8
MO	1,589	2013	ST. LOUIS FOX PARK SPRAY GROUND	A	43,000.00	D	CITY OF ST. LOUIS	The city of Saint Louis, Missouri, will utilize a Land and Water Conservation Fund grant to construct a water “spray garden” within Fox Park. The new design incorporates a filtration and recirculation system that utilizes rain water to the greatest extent practicable.	FOX PARK	SAINT LOUIS CITY	0	3
MO	1,591	2013	THOMPSON CAMPGROUND SHOWER HOUSE	A	28,500.00	R	CITY OF MOBERLY	The city of Moberly (Randolph County) will construct an energy efficient, water conserving, and accessible shower house at the Thompson Campground within Rothwell Park.	ROTHWELL PARK	Randolph	0	550
MS	619	2013	PERCY QUIN STATE PARK GOLF COURSE RENOVATION	C	 137,500.00 	D	MS DEPARTMENT OF WILDLIFE, FISHERIES AND PARKS	Grant will fund the renovation of an 18-hole golf course at Percy Quin State Park which is previously 6(f) protected existing 1701 acres park. This golf course is an impoertant part of the recreational opportunities offered at Percy Quin State Park.	PERCY QUIN STATE PARK	Pike	0	1,701.00
MS	620	2013	BUCCANEER STATE PARK-SPLASH PAD/PLAY AREA	A	 230,000.00 	D	MS DEPARTMENT OF WILDLIFE, FISHERIES AND PARKS	Grant will fund the further development of the existing 398 acres at Buccaneer State Park which was previouly 6(f) protected. The park was completely destroyed in 2005 by Hurricane Katrina and this new development will add a splash pad and play area that will allow the public to enjoy water recreation in addition to an existing water slide/wave pool and children's swimming pool.	BUCCANEER STATE PARK	Hancock	0	398
NC	1,035	2013	MORRISVILLE RTP PARK	A	 200,000.00 	D	TOWN OF MORRISVILLE	Grant funds will be used for the development of a newly created park of 24.98 acres of land at Morrisville RTP Park. The development at this site will include group shelter picnic areas, a playground, tennis courts, walkways, site improvement/landscaping, utilities, parking, access roads, lighting, concession building, a maintenance building and a large multipurpose fiels. The multipurpose field will be used for a variety of activities; most significant is a cricket pitch. Cricket is a rapidly growing athletic program in the region. This site will be a great asset to the community.	MORRISVILLE RTP PARK	WAKE	0	25
NC	1,036	2013	CASTALIA NEIGHBORHOOD PARK	A	 200,000.00 	D	TOWN OF CASTALIA	Grant funds will be used for the development of a newly created park of 15 acres of land at Castalia Neighborhood Park. The development at this site will include group shelter picnic areas, a playground, hiking trail, site improvment/landscaping, utilities, parking and comfort station. This park will be the 1st public recreational facility available to the residents of Castalia. This site will be a great asset to the community.	CASTALIA NEIGHBORHOOD PARK	NASH	0	15
NC	1,037	2013	STALLING'S MUNICIPAL PARK	A	 68,199.00 	D	TOWN OF STALLINGS	Grant funds will be used for the enhanced development of 8.9 acres of land at Stallings Municipal Park. The development at this site will include family and group shelter picnic areas, sports and playfields, natural trails, natural areas, walkways, site improvement/landscaping, and utilities. This park is a continuation of a previously funded L&WCF project. The enhancements to this site will be a great asset to the community.	STALLINGS MUNICIPAL PARK	Union	0	8.9
ND	1,299	2013	ARCHIE AND JESSIE CAMPBELL MEMORIAL PARK	A	31,668.00	D	NEW ROCKFORD PARK DISTRICT	The New Rockford Park District (Eddy County) will construct dugouts, a concession and storage building, and a picnic area at Archie and Jessie Campbell Memorial Park.	ARCHIE AND JESSIE CAMPBELL MEMORIAL PARK	Eddy	0	23
ND	1,300	2013	ROOSEVELT PARK AND RUGER PARK PLAYGROUND UPGRADES	C	47,502.00	R	DEVILS LAKE PARK BOARD	The Devils Lake Park Board (Ramsey County) will improve Ruger Park and Roosevelt Park by renovating playgrounds at each park. Outdated, unsafe playground equipment will be replaced with modern, universally accessible apparatus.	RUGER PARK	Ramsey	0	114.9
ND	1,300	2013	ROOSEVELT PARK AND RUGER PARK PLAYGROUND UPGRADES	C	47,502.00	R	DEVILS LAKE PARK BOARD	The Devils Lake Park Board (Ramsey County) will improve Ruger Park and Roosevelt Park by renovating playgrounds at each park. Outdated, unsafe playground equipment will be replaced with modern, universally accessible apparatus.	ROOSEVELT PARK	Ramsey	0	20
ND	1,302	2013	MUNICIPAL BASEBALL PARK UPGRADE	C	23,593.00	R	BISMARCK PARK DISTRICT	The Bismarck Park District (Burleigh County) will improve Municipal Baseball Park by upgrading the baseball fields and adding a concession building.	MUNICIPAL BASEBALL PARK	BURLEIGH	0	11.8
ND	1,301	2013	GOLDEN VALLEY COUNTY MEMORIAL PARK	C	21,112.00	R	CITY OF BEACH	The city of Beach (Golden Valley County) will improve Golden Valley County Memorial Park by constructing a playground. Outdated, unsafe playground equipment will be replaced with modern, universally accessible playground apparatus.	GOLDEN VALLEY COUNTY MEMORIAL PARK	GOLDEN VALLEY	0	1
NJ	387	2013	Addition to Island Beach State Park	A	 1,038,000.00 	A	State of NJ, Dept of Environmental Protection	Acquire .51 acre of land in Berkeley township in Ocean County as an Addition to Island Beach State Park	Island Beach State Park	OCEAN	0	0.5
NV	325	2013	HERRERA SKATEBOARD PARK	C	 49,303.00 	D	CITY OF ELKO	Install a new skateboard park in an existing city park.	LEONARD HERRERA PARK	Elko	0	10.8
NV	326	2013	GILMAN POND PARK AMENITIES	A	 53,654.00 	D	TOWN OF GARDNERVILLE	Develop access and picnicking around the ponds, used by residents for fishing and wildlife viewing. Grant funds will also develop trail head parking for people to access the pathways in the park, which also connect to other public lands.	GILMAN PONDS PARK	DOUGLAS	0	10.2
NV	329	2013	AUTUMN WINDS PARK GAZEBO	A	 30,988.00 	D	CITY OF FERNLEY	LWCF grant funds will help the city build a new gazebo and picnic area in their park.	AUTUMN WINDS PARK	Churchill	0	4.9
NV	327	2013	BEATTY TOWN SQUARE	A	 61,285.00 	D	NYE COUNTY	Develop a community gathering area. Development will include a memorial block wall with seating, benches, walkways, landscaping and irrigation. 	ROBERT AND FLORENCE REVERT PARK	NYE	0	0.9
NV	330	2013	VOF SP WATER LINE AND WELL	A	 201,853.20 	R	NEVADA DIVISION OF STATE PARKS	LWCF grant funds will help State Parks install a new water line and well at Valley of Fire State Park to replace the one that is failing. This will ensure that the very popular park keeps a potable source of water for its visitors.	VALLEY OF FIRE STATE PARK	Clark	0	42,059.50
NV	328	2013	CENTENNIAL PARK ADA ACCESS	A	 75,750.00 	R	CITY OF CARSON CITY	LWCF grant funds will help the city rehabilitate an aged ballfield complex. Grant funds will upgrade surfaces, install a new picnic area, and add irrigation to extend the playing season	JOHN D. WINTERS CENTENNIAL PARK	Carson City	0	600
NY	1,314	2013	Sunken Meadow SP Bathhouse Renovation	A	 1,350,000.00 	R	State of NY - Office of Parks & Rec and Historic Pres.	Renovate and enlarge men's and women's bathrooms used in the summer and relocate the park police office to enable improvements to the winter bathrooms. Develop a park nature center.	SUNKEN MEADOW STATE PARK	Suffolk	0	1,287.70
OK	1,200	2013	BECKMAN PARK REVITALIZATION	C	159,739.00	D	CITY OF MUSKOGEE		BECKMAN PARK	MUSKOGEE	0	3.8
PA	1,574	2013	Mayview Property Acquisition	A	 395,000.00 	A	South Fayette Township	Acquisition of 67.9 +acres located adjacent to South Fayette Township Fairview Park with frontage along Mayview Road in South Fayette Twp. Waiver of retroactivity date is 08/08/2013	FAIRVIEW PARK	Allegheny	0	80.9
PR	171	2013	MAUNABO LITTLE LEAGUE BASEBALL PARK	A	 50,000.00 	D	PR NATIONAL PARK AND MUNICIPALITY OF MAUNABO	Grant funds will be used for the development of a newly created park of 1.10 of an acre of land at Maunabo Little League Baseball Park. The municipality of Maunabo will develop a minor league baseball park and a passive park at Talante Ward. The construction includes perimeter fence, backstop, site improvements, bleachers, locker rooms, (bathrooms), parking facilities, a lighting system, and utilities. It will increase a much-needed recreational opportunity in the Municipality. The passive park will include a children's play area, landscaping, gazebos benches and a lighting system all around the area.	MAUNABO LITTLE LEAGUE BASEBALL PARK	Maunabo	0	1.1
PR	172	2013	PATILLAS TRACK AND FIELD COMPLEX	A	 420,000.00 	R	PR NATIONAL PARKS COMPANY	Grant funds will be used for the renovation development of 8.604 acres of land at Patillas Track and Fiels Complex. The Municipality of Patillas will develop and reconstrust a track and fiels complex. The construction will include leveling out the area, drainage system, athletic track reconstruction, bleachers, improvemnts to the maintenance building and bathrooms, outdoor exercising machines area, improvements to the parking area, improvements to the children's playing area, reconstruction of the perimeter fence, lighting system all around the area and utilities. This project will aid and promote the residents of the Municipality of Patillas with a healthy and active lifestyle.	PATILLAS TRACK AND FIELD COMPLEX	COUNTY NAME MISSING	0	8.6
SC	1,097	2013	HOLSTON CREEK PARK DEVELOPMENT	A	 250,000.00 	D	SPARTANBURG COUNTY	Grant will fund new park 101.8 acres known as Holston Creek Park that will include the development of an 18 hole championship disc golf course, picnic shelters, wetland boardwalks, playground amenities access roads, and 236 spance parking area.	HOLSTON CREEK PARK DEVELOPMENT	Spartanburg	0	101.8
SC	1,098	2013	MCBEE RECREATION COMPLEX	A	 250,000.00 	D	TOWN OF MCBEE	This grant will be used to fund the development of two baseball fields, a concession/press box facility with restrooms, parking and other support facilities at an existing park, which 14.0 acres will be placed under 6(f) protection.	MCBEE RECREATION COMPLEX	CHESTERFIELD	0	14
SC	1,096	2013	MCLEOD PLANTATION PARK PHASE I	A	 250,000.00 	D	CHARLESTON COUNTY PARK & RECREATION COMMISSION	This grant will be used to help provide meaningful public access to a very significant historic site by creating a new park. The scope of this project is on the northern track of the park (11.6) acres 6(f) protected and will include a viewing deck/pier head on Wappoo Creek, a pavilion with restrooms, parking lot, walking trails and other support facilites.	MCLEOD PLANTATION	CHARLESTON	0	11.6
SD	1,448	2013	BRANDON ASPEN PARK LAND ACQUISITION PROJECT	C	51,370.00	A	CITY OF BRANDON	The city of Brandon will acquire 11 acres as an addition to Aspen Park.	ASPEN PARK	Minnehaha	0	78.2
SD	1,455	2013	PIERRE 4th STREET PARK IMPROVEMENTS	A	25,331.00	D	CITY OF PIERRE	The city of Pierre will install playground equipment and construct a picnic shelter and walkways in the newly created Fourth Street Park.	FOURTH STREET PARK	HUGHES	0	17
SD	1,449	2013	BROOKINGS VALLEY VIEW PARK DEVELOPMENT	A	46,386.00	D	CITY OF BROOKINGS	The city of Brookings will implement the initial development of Valley View Park by installing playground equipment and a small pedestrian bridge.	VALLEY VIEW PARK	BROOKINGS	0	1.5
SD	1,456	2013	STURGIS STARLINE PARK PROJECT	A	29,386.00	D	CITY OF STURGIS		STARLINE PARK	MEADE	0	0.2
SD	1,450	2013	DELL RAPIDS CITY PARK PLAYGROUND PROJECT	C	39,386.00	R	CITY OF DELL RAPIDS		DELL RAPIDS CITY PARK	Minnehaha	0	40
SD	1,452	2013	GREGORY MEMORIAL SPORTS PARK PLAYGROUND PROJECT	C	28,386.00	R	CITY OF GREGORY		GREGORY MEMORIAL SPORTS PARK	GREGORY	0	16
SD	1,446	2013	BERESFORD BURLOW PARK PLAYGROUND EQUIPMENT PROJECT	A	19,324.00	R	CITY OF BERESFORD		BULOW PARK	Union	0	15
SD	1,454	2013	LENNOX POOL AND BATHHOUSE IMPROVEMENT PROJECT	A	47,386.00	R	CITY OF LENNOX		WESTERMAN PARK	LINCOLN	0	15
SD	1,447	2013	BOX ELDER BOYKIN PARK PLAYGROUND EQUIPMENT	A	51,386.00	R	CITY OF BOX ELDER		BOYKIN PARK	PENNINGTON	0	3.3
SD	1,453	2013	GROTON CITY PARK EQUIPMENT REPLACEMENT PROJECT	C	12,665.00	R	CITY OF GROTON	The city of Groton will remove outdated, unsafe playground equipment and replace it with modern, universally accessible apparatus at Groton City Park.	GROTON CITY PARK	Brown	0	2.1
SD	1,451	2013	GETTYSBURG LITTLE ANGELS PLAYGROUND IMPROVEMENTS	A	21,109.00	R	CITY OF GETTYSBURG	The city of Gettysburg will remove unsafe playground equipment and a picnic shelter and replace them with modern, universally accessible apparatus and structures at Little Angels Park.	LITTLE ANGELS PARK	Potter	0	1.2
TN	828	2013	PICKETT STATE PARK-RAINES ACQUISTION	A	 71,839.00 	A	TN DEPT OF ENVIRONMENT AND CONSERVATION	This project is for the acquisition of 16.89 acres at Pickett State Park. The total number of acres that will be 6(f) protected, in addition to this acquistion will be 881.89. The primary purpose of the Raines Acquisition is to provide public trailjead access from Highway 154 on the far eastern end of the Pogue Creek State Natural Area. The property contains rock shelters with archaeological significance. The proposed acquisition would prevent the threat of future development.	PICKETT STATE PARK	Fentress	0	883.8
TN	823	2013	CUMBERLAND TRAIL STATE PARK-SA ALTERNATIVE ACQUISI	A	 179,598.00 	A	TN DEPT OF ENVIRONMENT AND CONSERVATION	This project is for the acquisition of 87.0 acres at Cumberland Trail State Park. The total number of acres that will be 6(f) protectred, in addition to this acquisition, will be 2,747 acres. The primary purpose of the SA Alternative is for the completion of the Cumberland Trail. This opportunity will establish at least 75 percent of the Cumberland Trail between Justin P. Wilson Cumberland Trail State Park and Ozone Falls State Natural Area.	CUMBERLAND TRAIL STATE PARK	Claiborne	3	124.5
TN	826	2013	SOUTH CUMBERLAND STATE RECREATION PARK- PLAYGROUND	A	 59,866.00 	R	TN DEPT OF ENVIRONMENT AND CONSERVATION	This project is for the replacement of the existing playground as South Cumberland State Recreation Area. Tennessee State Park will install new playground equipment at an existing playground site at the park. The old playground equipment will be replaced with the installation of new playground equipment that will meet current ASTM, CPSP, and ADA stanadards.	SOUTH CUMBERLAND STATE RECREATION AREA	GRUNDY	0	127
TX	1,117	2013	TPWD GOVERNMENT CANYON STATE NATURAL AREA III	C	150,000.00	A	TX. DEPT. OF PARKS & WILDLIFE	TPWD will acquire 461.23 acres as an addition to the Government Canyon State Natural Area. The parcel is west of Helotes in Bexar County. Federal share = $150,000 (LW 2012) Total costs = $300,000 PRISM grant number = P13AP00050	GOVERNMENT CANYON STATE NATURAL AREA	Bexar	0	6,326.00
TX	1,116	2013	TPWD PALTO PINTO MOUNTAINS STATE PARK III	C	215,125.98	A	TX. DEPT. OF PARKS & WILDLIFE	TPWD will acquire 76.48 acres as an addition to Palo Pinto Mountains State Park. This parcel is 2 miles west of Strawn in Palo Pinto County. Federal Share = $215,125.98 (LW 2011 @ $103,154.55 and LW 2012 @ $111,971.43) Total Costs = $430,251.96 PRISM grant # = P13AP00049 This is the first LWCF grant approved under PRISM.	PALO PINTO MOUNTAINS STATE PARK	MULTI-COUNTY	0	1,958.90
TX	1,130	2013	TPWD PALO PINTO MOUNTAINS STATE PARK IV	C	322,499.91	A	TX. DEPT. OF PARKS & WILDLIFE	The Texas Parks and Wildlife Department will acquire a 307.09-acre addition to Palo Pinto Mountains State Park in Palo Pinto County.	PALO PINTO MOUNTAINS STATE PARK	MULTI-COUNTY	0	1,958.90
TX	1,121	2013	CENTER PARK II	C	100,000.00	C	CITY OF CENTER	The city of Center will acquire a 19.68-acre addition to Center Park and construct one unlighted and two lighted softball fields and a playground.	CENTER PARK	SHELBY	0	69.7
TX	1,124	2013	NUECES COUNTY LYONDELLBASELL PARK	A	100,000.00	C	NUECES COUNTY	Nueces County will acquire a 12.6-acre addition to LyondellBasell Park and construct a basketball ½-court, a playground, and a walking trail with exercise stations plus adding picnic tables with grills, Xeriscape garden with benches, a nature area with drip irrigation, interpretive signage, and walkways.	LYONDELLBASELL PARK	NUECES	0	40.8
TX	1,122	2013	HAYS COUNTY JACOB'S WELL	A	100,000.00	C	HAYS COUNTY	Hays County will acquire 31.5-acres and construct an outdoor classroom, a playscape, nature trails with interpretive signs and a kiosk, nature observation blinds, and picnic areas.	JACOB'S WELL NATURAL AREA	HAYS	0	31.5
TX	1,118	2013	BELTON NOLAN CREEK PARK	A	100,000.00	C	CITY OF BELTON	The city of Belton will acquire 3.26 acres plus improve Nolan Creek Park by constructing a ½-mile nature trail, kayak drop in and take out spots along Nolan Creek, interpretive signs, a 2-acre natural area, horseshoe courts, and a picnic area.	NOLAN CREEK PARK	BELL	0	8.9
TX	1,120	2013	SONTERRA MUD PARK	A	100,000.00	C	SONTERRA MUNICIPAL UTILITY DISTRICT	The Sonterra Municipal Utilities District (Williamson County) will develop 2.946 acres of donated land to create a new park by adding game tables, picnic tables with grills, benches, playground equipment, and interpretive signs plus constructing a trail and a community garden.	SONTERRA MUD PARK	WILLIAMSON	0	2.9
TX	1,125	2013	BEDFORD BOYS RANCH PARK II	A	100,000.00	D	CITY OF BEDFORD	The city of Bedford will improve Boys Ranch Park by renovating the fishing pier and dock, dredging the lake, adding natural area plantings, planting stream bank vegetation for erosion control and creek stabilization, constructing a trail, 9-hole disc golf course, an overlook/interpretive area, picnic units, a sheltered playground, amphitheater renovation, interpretive, and historic signs, information kiosk, and program signs.	BOYS RANCH PARK	Tarrant	0	68
TX	1,126	2013	BROWNWOOD CAMP BOWIE SOCCER COMPLEX	A	100,000.00	D	CITY OF BROWNWOOD	The city of Brownwood will construct lighted and irrigated soccer fields, a pavilion, and a covered playground at the Camp Bowie Soccer Complex.	CAMP BOWIE SOCCER COMPLEX	BROWN	0	24
TX	1,127	2013	CAMERON COUNTY EL RANCHITO PARK	A	100,000.00	D	CAMERON COUNTY	Cameron County will utilize a Land and Water Conservation Fund grant to assist in improving the 20.06 acre El Ranchito Park. The grant will assist in developing ballfields, soccer fields, a basketball court, a hike/walk trail, a playground, picnic pavilions, a butterfly garden, benches, general landscaping, and park signage.	EL RANCHITO PARK	CAMERON	0	20.1
TX	1,129	2013	HOUSTON SHADY LANE PARK	C	220,000.00	D	CITY OF HOUSTON	The city of Houston will construct a playground, benches, trails, walkways, and signs within Shady Lane Park.	SHADY LANE PARK	HARRIS	0	12.4
TX	1,119	2013	GRANITE SHOALS QUARRY PARK	A	100,000.00	D	CITY OF GRANITE SHOALS	The city of Granite Shoals will construct an exercise trail with fitness stations, a tennis pavilion, native wildflower gardens, and an interpretive display at Quarry Park.	QUARRY PARK	BURNET	0	2
TX	1,123	2013	LA FERIA UNGER PARK	A	100,000.00	D	CITY OF LA FERIA	The city of La Feria (Cameron County) will improve Unger Park by constructing a new aquatic spray feature and a covered picnic unit with water catchment system, general play courts, a soccer field, and a trail plus adding solar and energy efficient security lighting and planting native species utilizing a drip irrigation system.	UNGER PARK	CAMERON	0	1.1
TX	1,128	2013	FORT WORTH ROTARY PLAZA TRAILHEAD PARK	A	110,000.00	D	CITY OF FT. WORTH	The city of Fort Worth will improve Rotary Plaza Trailhead Park by constructing a parking area, connections to an existing trail from the north end of the park and from the pedestrian bridge across the Trinity River, a pavilion with picnic tables and benches, a plaza area with seating, enclosing a restroom, utilities, drinking fountain, and signs.	ROTARY PLAZA TRAILHEAD PARK	TARRANT	0	1
UT	381	2013	DRY CREEK PARK	A	200,000.00	D	CITY OF LEHI	The city of Lehi will improve the 13.6-acre Dry Creek Park by constructing sidewalks, landscaped play areas, picnic pavilions, and a disk-golf course.	DRY CREEK PARK	UTAH	0	13.6
UT	379	2013	CANYON VIEW PARK SPLASH PAD	A	62,882.00	D	CITY OF EPHRAIM	The city of Ephraim will construct of a splash pad and associated infrastructure within the 7.79-acre Canyon View Park.	CANYON VIEW PARK	Sanpete	0	7.8
UT	380	2013	CITY HALL PARK PHASE I	A	150,000.00	D	CITY OF HOLLADAY	The city of Holladay will improve the 6.58-acre City Hall Park by constructing walkways, picnic area, and general playfields.	CITY HALL PARK	SALT LAKE	0	6.6
VA	434	2013	Scott County Improvements at Two Parks	A	 75,000.00 	D	Scott County	Scott County Park - upgrade to golf cart paths and parking area. Duffield Community Pk will upgrade walking trail, resurface 3 tennis courts and construction of the picnic shelter.	Scott County Park & Golf Course	SCOTT	0	99
VA	433	2013	Paradise Creek Nature Park	A	 168,550.00 	D	City of Portsmouth	Paradise Creek Nature Park in Portsmouth, VA - Construction of canoe/kayak launch, parking area and pavilion	Paradise Creek Nature Park	PORTSMOUTH CITY	0	33.8
VA	434	2013	Scott County Improvements at Two Parks	A	 75,000.00 	D	Scott County	Scott County Park - upgrade to golf cart paths and parking area. Duffield Community Pk will upgrade walking trail, resurface 3 tennis courts and construction of the picnic shelter.	DUFFIELD COMMUNITY PARK	Scott	0	3.7
WV	490	2013	Sam Michael's Park Shelter & Playground	A	 40,000.00 	D	Jefferson County Parks & Recreation Commission	The Jefferson County Parks & Recreation Commission will construct a new group picnic shelter, ADA compliant playground and LWCF signage at Sam Michaels's Park.	Sam Michael's Park	JEFFERSON	0	137.4
WV	486	2013	Veterans Memorial Park Improvements II	A	 100,000.00 	D	City of Clarksburg	The City of Clarksburg will construct improvements to the park including a new group picnic shelter and pool complex shade structure.	Veteran's Memorial Park	Harrison	0	38.9
WV	488	2013	Parkersburg Southwood Park Mini-Golf	A	 35,000.00 	D	City of Parkersburg	The city of Parkersburg will construct an ADA compliant mini golf course at Southwood Park	SOUTHWOOD PARK	Wood	0	28.7
WV	487	2013	City of Huntington Harris Riverfront Park	A	 50,000.00 	D	City of Huntington	The city of Huntington will construct a new path and skateboard elements within its Harris Riverfront Park.	Harris Park	Cabell	0	20.1
WV	491	2013	Wheeling Park Stifel Playground Improvements	A	 100,000.00 	R	Wheeling Park Commission	The Wheeling Park Commission will perform playground and comfort station renovations including ADA improvements and LWCF signage at Stifel Playground.	WHEELING PARK	Ohio	0	302.1
WV	485	2013	Pleasants County Park Pool Complex	A	 100,000.00 	R	Plesants County Commission	Pleasants Cty will perform pool & bathhouse renovations including ADA improvements and LWCF signage installation at the Park in St. Mary's.	Pleasants County Park	PLEASANTS	0	50
WV	489	2013	Lewis County Park ADA Improvements	A	 60,000.00 	R	Lewis County Commission	Lewis County Commission will perform ADA improvements to its pool complex and playground.	LEWIS COUNTY PARK	Lewis	0	17.2
WY	889	2013	CURT GOWDY STATE PARK VISITOR CENTER SHOWER HOUSE	A	132,311.00	D	STATE OF WYOMING	The Wyoming Department of State Parks and Cultural Resources will construct a shower house at the Curt Gowdy State Park visitor center.	CURT GOWDY STATE PARK	Laramie	0	2,117.00
WY	892	2013	GUERNSEY COMMUNITY PICNIC SHELTER	A	15,709.11	D	CITY OF GUERNSEY	The Town of Guernsey will construct a group picnic shelter and accessible sidewalk within City Park.	SWIMMING POOL PARK	Platte	0	6.5
NJ 	393	2015	Great Falls Park Riverwalk 	A 	679,335.00	D 	NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION 	The development of a plaza park and river walk along the Passaic River in Great Falls Park located in the City of Paterson, NJ. 	Great Falls Park 	PASSAIC 	8	  14.2
AK 	409	2014 	DUDLEY TENNIS COURTS 	A 	52,500.00	R 	KETCHIKAN GATEWAY BOROUGH 	Rehabilitate Dudley tennis courts, including improving drainage, and resurfacing courts and access path.  	DUDLEY SPORTSFIELD COMPLEX 	Ketchikan Gateway 	0	  7.8
AK 	410	2014 	DAVE ROSE PARK 	A 	108,661.00	R 	MUNICIPALITY OF ANCHORAGE 	Replace existing play equipment and play area surfacing, seating, and landscaping. 	DAVE ROSE PARK 	ANCHORAGE 	0	  14.0
AK 	411	2014 	PINKY'S PARK 	A 	125,000.00	D 	CITY OF BETHEL 	Improve the already-LWCF protected 21- acre park plus initially develop a 5-acre expansion area with: a new multi-purpose sports field and associated short driveway / small parking lot; a new  green house for the community garden; site furnishings; extensions of the existing boardwalk and on-ground trail network; and installation of several viewing/exercise platforms along the trails.  	PINKY'S PARK 	Bethel 	0	  26.0
AL 	983	2014 	TURNER PARK PLAYGROUND RENOVATION 	A 	50,000.00	R 	CITY OF ATHENS 	Renovate the Kids Dugout Playground to make it an all-inclusive playground by adding a handicap accessible area and improving the aging facility. 	KIDS DUGOUT AT THE SPORTSPLEX 	Limestone 	5	  1.0
AL 	984	2014 	WEST END PARK PLAYGROUND RENOVATION 	A 	34,000.00	R 	CITY OF NEWTON 	Remove old and unsafe playground equipment from West End Park (E.M. Henry Park) and install new playground equipment to include a safety surface to help prevent injury if someone falls. 	WEST END PARK 	Chilton 	6	  11.2
AL 	985	2014 	COALING TOWN PARK SPLASH PAD 	A 	50,000.00	D 	TOWN OF COALING 	Construct a splash pad on land adjacent to the existing Coaling Town Park.  	TOWN OF COALING SPLASH PAD PARK 	TUSCALOOSA 	7	  1.0
AL 	986	2014 	EUFAULA PLAYGROUND OF DREAM REHABILITION 	A 	50,000.00	R 	CITY OF EUFAULA 	Rehabilitate and expand the Playground of Dreams and adjacent picnic area at Old Creek Town Park. The improvements will add ground level play features to increase accessibility.  	EUFAULA PLAYGROUND OF DREAMS 	BARBOUR 	2	  189.6
AL 	987	2014 	MOSELEY PARK RENOVATION PROJECT 	A 	37,000.00	R 	CITY OF LINCOLN 	Renovate the playground and basketball court at Moseley Park.  Old and unsafe playground equipment will be removed and replaced with new modular play equipment that includes a safety surface treatment and includes equipment specifically designed for children with physical and mental disabilities. The basketball court will be completely resurfaced and striped. New poles, backboards, and nets will be installed.  	MOSELEY PARK 	Talladega 	3	  12.0
AL 	988	2014 	E. L. TURNER PARK PLAYGROUND RENOVATION 	A 	50,000.00	R 	CITY OF LUVERNE 	Upgrade the playground equipment at the existing E.L. Turner Park (Luverne Municipal Park), including purchase of new equipment, fencing and other upgrades. 	E. L. TURNER PARK 	CRENSHAW 	2	  9.5
AL 	989	2014 	A LEAGUE OF OUR OWN FIELD OF DREAMS 	A 	50,000.00	D 	CITY OF OXFORD 	Acquire 10 acres from the Seminole County School Board to develop into active and passive recreational facility in an urban setting. 	OXFORD LAKE PARK 	Calhoun 	3	  125.6
AL 	990	2014 	PELL CITY PLAYGROUND RENOVATION 	A 	50,000.00	R 	CITY OF PELL CITY 	Renovate the existing playgrounds located at Glenn City Park and 19th Street Park. 	GLENN CITY PARK 	SAINT CLAIR 	3	  1.0
AL 	992	2014 	SPRINGVILLE CITY BALL PARK FIELD RENOVATION 	A 	40,000.00	R 	CITY OF SPRINGVILLE 	Renovate the lighting of Ball Field # 2 at Springville City Park. 	SPRINGVILLE CITY PARK 	Saint Clair 	3	  9.3
AL 	993	2014 	VETERAN'S PARK ADA RESTROOM CONSTRUCTION 	A 	46,650.00	R 	CITY OF TALLADEGA 	Replace two small non-ADA compliant restrooms at Veterans Park (formerly Pines Park) with one large ADA compliant restroom facility. Also install the necessary curb cuts and sidewalks to make the new restroom facility fully accessible and in compliance with ADA standards. 	VETERAN'S PARK 	TALLADEGA 	3	  13.2
AL 	994	2014 	TOWN OF VERNON PUBLIC SPLASH PAD 	A 	50,000.00	D 	TOWN OF VERNON 	Install a 1,800-square foot splash pad with 10 different water features at Vernon City Park inside the circumference of the existing Walking Trail, to provide access for people with disabilities or physical limitations. 	VERNON CITY PARK 	Lamar 	4	  17.5
AL 	995	2014 	TANNEHILL HISTORIC STATE PARK WASTEWATER TREATMENT 	A 	50,000.00	R 	ALABAMA HISTORIC IRONWORKS COMMISSION 	Upgrade the wastewater treatment facility at Tannehill Ironworks Historical State Park. 	TANNEHILL HISTORICAL STATE PARK  	Jefferson 	7	  434.1
